name,year,house,link
Josh Hall,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/hall_josh_vlmf
Stuart Johnson,Sr,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/johnson_stuart_d1sf
Peter Graves,Jr,Cabot,http://www.gocrimson.com/sports/fball/2017-18/bios/graves_peter_wr5e
Ben Shoults,Jr,Eliot,http://www.gocrimson.com/sports/fball/2017-18/bios/shoults_ben_87r6
Joey Goodman,So,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/goodman_joey_gns2
Nate Chaffee,So,Kirkland,http://www.gocrimson.com/sports/fball/2017-18/bios/chaffee_nate_hi7b
Liam Shanahan,So,Kirkland,http://www.gocrimson.com/sports/fball/2017-18/bios/shanahan_liam_0p2t
J.J. Drew,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/drew_j.j._xoad
Jackson Ward,So,Kirkland,http://www.gocrimson.com/sports/fball/2017-18/bios/ward_jackson_w6cv
Thomas Reeder,So,Quincy,http://www.gocrimson.com/sports/fball/2017-18/bios/reeder_thomas_vmzl
Matt Jones,Jr,Mather,http://www.gocrimson.com/sports/fball/2017-18/bios/jones_matt_bvig
James Lee,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/lee_james_os01
Eric Wilson,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/wilson_eric_g2uz
Brogan McPartland,So,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/mcpartland_brogan_dvif
Ryan Sunda,Jr,Dunster,http://www.gocrimson.com/sports/fball/2017-18/bios/sunda_ryan_pz46
DJ Mott,Sr,Pforzheimer,http://www.gocrimson.com/sports/fball/2017-18/bios/mott_dj_hkh1
Daniel Laden,Sr,Pforzheimer,http://www.gocrimson.com/sports/fball/2017-18/bios/laden_daniel_m3ml
Scott Garrison,Jr,Dunster,http://www.gocrimson.com/sports/fball/2017-18/bios/garrison_scott_lhvl
Hunt Sparks,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/sparks_hunt_zgic
Mark Goldman,Sr,Pforzheimer,http://www.gocrimson.com/sports/fball/2017-18/bios/goldman_mark_7xek
Matteo diMayorca,So,Kirkland,http://www.gocrimson.com/sports/fball/2017-18/bios/dimayorca_matteo_2z0p
Jon Goettsch,So,,http://www.gocrimson.com/sports/fball/2017-18/bios/goettsch_jon_i5l9
Gavin Olsen,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/olsen_gavin_enp2
Cecil Williams II,Jr,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/williams_cecil_o9bs
Scott Evans,Sr,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/evans_scott_nzmv
Cam Tripp,Jr,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/tripp_cam_ilrx
Jake Barann,Sr,Kirkland,http://www.gocrimson.com/sports/fball/2017-18/bios/barann_jake_xwky
Jack Cook,So,Kirkland,http://www.gocrimson.com/sports/fball/2017-18/bios/cook_jack_dgnv
Ryan Reagan,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/reagan_ryan_fkym
Adam West,Fr,,http://www.gocrimson.com/sports/fball/2017-18/bios/west_adam_ntfy
John Pirrmann,Jr,Eliot,http://www.gocrimson.com/sports/fball/2017-18/bios/pirrmann_john_nwzu
Jack Stansell,Sr,Leverett,http://www.gocrimson.com/sports/fball/2017-18/bios/stansell_jack_ejly
