name,year,house,link
Lita Guo,Senior,,http://www.gocrimson.com/sports/wgolf/2017-18/bios/guo_lita_nf7u
Chloe Belle Hooton,Sophomore,,http://www.gocrimson.com/sports/wgolf/2017-18/bios/hooton_chloe_belle_2l3e
Belinda Hu,Freshman,,http://www.gocrimson.com/sports/wgolf/2017-18/bios/hu_belinda_gsrf
Ji Hae Lee,Sophomore,Kirkland,http://www.gocrimson.com/sports/wgolf/2017-18/bios/lee_ji_hae_vt96
Jessica Luo,Freshman,,http://www.gocrimson.com/sports/wgolf/2017-18/bios/luo_jessica_mxu6
Michelle Xie,Junior,Lowell,http://www.gocrimson.com/sports/wgolf/2017-18/bios/xie_michelle_e3vj
Anna Zhou,Junior,Winthrop,http://www.gocrimson.com/sports/wgolf/2017-18/bios/zhou_anna_8kke
