name,year,house,link
Aurian Capart,Junior,Quincy,http://www.gocrimson.com/sports/mgolf/2017-18/bios/capart_aurian_ewvk
Grant Fairbairn,Freshman,,http://www.gocrimson.com/sports/mgolf/2017-18/bios/fairbairn_grant_xckr
Chase Furey,Freshman,,http://www.gocrimson.com/sports/mgolf/2017-18/bios/furey_chase_6jz5
Peter George,Freshman,,http://www.gocrimson.com/sports/mgolf/2017-18/bios/george_peter_lb7i
Rij Patel,Sophomore,Winthrop,http://www.gocrimson.com/sports/mgolf/2017-18/bios/patel_rij_n6kf
Ryan Rhee,Sophomore,Adams,http://www.gocrimson.com/sports/mgolf/2017-18/bios/rhee_ryan_5637
Greg Royston,Senior,Kirkland,http://www.gocrimson.com/sports/mgolf/2017-18/bios/royston_gregory_w1ul
